Date,Actual Price,Predicted Price
2025-01-22,67.43000030517578,66.88181917133562
2025-01-23,67.7699966430664,67.1876709472854
2025-01-24,67.68000030517578,67.95911844650024
2025-01-27,67.56999969482422,67.75855335108358
2025-01-28,67.87000274658203,67.62585125411879
2025-01-29,68.0999984741211,66.28345778629685
2025-01-30,69.06999969482422,68.24604607438317
2025-01-31,68.97000122070312,68.03905392696991
2025-02-01,69.63999938964844,68.42517722183223
2025-02-03,70.0999984741211,68.10246755265472
2025-02-04,71.66000366210938,68.71024626721835
2025-02-05,71.5199966430664,70.73170187219539
2025-02-06,71.52999877929688,70.42948237053666
2025-02-07,72.5,70.13608055305407
2025-02-10,71.97000122070312,72.1329398847028
2025-02-11,71.4800033569336,71.07429560190499
2025-02-12,71.87000274658203,70.66129275327731
2025-02-13,72.22000122070312,71.32133941298098
2025-02-14,71.62999725341797,71.31422067656472
2025-02-17,71.97000122070312,70.63601371163485
2025-02-18,72.80000305175781,71.24525630197884
2025-02-19,72.45999908447266,71.84816074335869
2025-02-20,72.11000061035156,71.44810907438728
2025-02-21,72.5999984741211,73.36097638029743
2025-02-24,72.75,72.45966909664395
2025-02-25,71.9000015258789,71.0737870757073
2025-02-27,71.12000274658203,71.07859438190746
2025-02-28,71.38999938964844,70.01374366432502
2025-03-03,72.41999816894531,70.78765517405779
2025-03-04,72.2699966430664,71.04096090578706
2025-03-05,71.9000015258789,71.04887805966388
2025-03-06,72.19000244140625,70.23234435982941
2025-03-07,72.18000030517578,72.32861493247026
2025-03-10,72.08000183105469,70.7351592175827
2025-03-11,72.29000091552734,71.74351436903926
2025-03-12,72.80999755859375,72.1723692576078
2025-03-13,73.55999755859375,72.94689427822509
2025-03-17,74.12999725341797,74.33824015538906
2025-03-18,74.2300033569336,73.65678392835972
2025-03-19,74.47000122070312,74.27960514984959
2025-03-20,73.9800033569336,75.31340349631759
2025-03-21,73.01000213623047,72.99213832864406
2025-03-24,73.20999908447266,73.10627080436993
2025-03-25,73.26000213623047,73.6776976306473
2025-03-26,73.80000305175781,72.82840955002038
2025-03-27,74.16999816894531,73.28301728687251
2025-03-28,76.68000030517578,72.68872145434804
2025-04-01,76.22000122070312,75.63465063310592
2025-04-02,75.86000061035156,75.74611509979762
2025-04-03,74.9800033569336,76.33234675176573
2025-04-04,73.83000183105469,74.05074943488938
2025-04-07,73.68000030517578,75.51205109599191
2025-04-08,74.88999938964844,73.18747886899365
2025-04-09,77.91999816894531,75.30030319567575
2025-04-11,77.68000030517578,75.55226408595787
2025-04-15,79.20999908447266,76.48863368840819
2025-04-16,79.51000213623047,77.08961494228276
2025-04-17,81.0999984741211,75.45926564069461
2025-04-21,82.87000274658203,79.32931597958404
2025-04-22,80.37999725341797,81.25864128169867
2025-04-23,80.5,78.64474968676727
2025-04-24,80.0,82.10629723524961
2025-04-25,79.05000305175781,79.7795589519348
2025-04-28,80.04000091552734,81.83428599577768
2025-04-29,79.08999633789062,80.35356056916639
2025-04-30,78.94000244140625,79.20905014536686
2025-05-02,79.66000366210938,79.09097838658064
2025-05-05,82.0999984741211,80.49317952613116
2025-05-06,81.29000091552734,81.49443551820474
2025-05-07,80.94000244140625,80.16600647543179
2025-05-08,80.80999755859375,82.42185546062946
2025-05-09,78.0,81.15851568249133
2025-05-12,79.05999755859375,81.91439926571782
2025-05-13,78.52999877929688,79.46619480198592
2025-05-14,77.05000305175781,78.83499964000002
2025-05-15,77.79000091552734,78.1731169386904
2025-05-16,78.33999633789062,78.95474401234347
2025-05-19,78.19999694824219,77.08146602275129
2025-05-20,79.48999786376953,77.9464778016844
2025-05-21,79.83999633789062,79.22317389102226
2025-05-22,79.54000091552734,80.33633756897846
2025-05-23,79.76000213623047,78.66647890465647
2025-05-26,79.52999877929688,79.45062965700032
2025-05-27,80.05999755859375,80.12212496681244
2025-05-28,79.11000061035156,79.22050754823395
2025-05-29,79.48999786376953,80.23850935368648
2025-05-30,80.51000213623047,81.97077618150009
2025-06-02,80.83999633789062,79.44460824819426
2025-06-03,81.31999969482422,80.57078879518708
2025-06-04,81.7300033569336,81.4917642559648
2025-06-05,81.19999694824219,82.01238490346223
2025-06-06,80.4800033569336,80.72800463066436
2025-06-09,80.62000274658203,83.151769258654
2025-06-10,80.75,80.56057601358465
2025-06-11,81.3499984741211,82.20906949943873
2025-06-12,83.12999725341797,81.99832966384882
2025-06-13,83.08999633789062,82.42325834103995
2025-06-16,82.56999969482422,84.00727318177275
2025-06-17,82.80000305175781,82.08748937874455
2025-06-18,82.7699966430664,83.57659035460826
