Date,Actual Price,Predicted Price
2025-01-23,67.43000030517578,67.23301827135583
2025-01-24,67.7699966430664,66.6645789755512
2025-01-27,67.68000030517578,67.21855301489086
2025-01-28,67.56999969482422,67.81768217148874
2025-01-29,67.87000274658203,67.52256396672692
2025-01-30,68.0999984741211,67.58863126212145
2025-01-31,69.06999969482422,67.81591184775789
2025-02-01,68.97000122070312,68.17886531389104
2025-02-03,69.63999938964844,68.54514868759179
2025-02-04,70.0999984741211,68.87824050140443
2025-02-05,71.66000366210938,69.81908816114583
2025-02-06,71.5199966430664,71.35611141082336
2025-02-07,71.52999877929688,71.52463470437215
2025-02-10,72.5,71.48918410072838
2025-02-11,71.97000122070312,72.12384060025215
2025-02-12,71.4800033569336,72.42460280116575
2025-02-13,71.87000274658203,71.71431602624762
2025-02-14,72.22000122070312,71.69103901954031
2025-02-17,71.62999725341797,71.57803191768835
2025-02-18,71.97000122070312,71.11686119557044
2025-02-19,72.80000305175781,71.18933601962635
2025-02-20,72.45999908447266,72.50593422610655
2025-02-21,72.11000061035156,71.92840081528948
2025-02-24,72.5999984741211,71.68734353661421
2025-02-25,72.75,72.03899469362614
2025-02-27,71.9000015258789,72.13916717469692
2025-02-28,71.12000274658203,71.53986331056194
2025-03-03,71.38999938964844,71.0968658342963
2025-03-04,72.41999816894531,71.12897415563111
2025-03-05,72.2699966430664,72.06919929914511
2025-03-06,71.9000015258789,72.08658648031542
2025-03-07,72.19000244140625,71.59699429822649
2025-03-10,72.18000030517578,71.93481705875456
2025-03-11,72.08000183105469,71.87346404661275
2025-03-12,72.29000091552734,72.01367550681425
2025-03-13,72.80999755859375,72.05510129392678
2025-03-17,73.55999755859375,72.50725647093714
2025-03-18,74.12999725341797,73.26095592537604
2025-03-19,74.2300033569336,73.85606399537801
2025-03-20,74.47000122070312,73.73265944615923
2025-03-21,73.9800033569336,73.97915892571291
2025-03-24,73.01000213623047,73.91630297133361
2025-03-25,73.20999908447266,72.42153873807956
2025-03-26,73.26000213623047,72.79221393273201
2025-03-27,73.80000305175781,73.43842289968052
2025-03-28,74.16999816894531,73.29423518473595
2025-04-01,76.68000030517578,73.45411681273617
2025-04-02,76.22000122070312,76.37625049708595
2025-04-03,75.86000061035156,75.88828470652516
2025-04-04,74.9800033569336,75.71501975896535
2025-04-07,73.83000183105469,74.9436199541492
2025-04-08,73.68000030517578,74.05649247969632
2025-04-09,74.88999938964844,73.88560073937697
2025-04-11,77.91999816894531,74.66108721800447
2025-04-15,77.68000030517578,77.43653999511025
2025-04-16,79.20999908447266,77.69231634144853
2025-04-17,79.51000213623047,78.74270057205058
2025-04-21,81.0999984741211,79.32755848454008
2025-04-22,82.87000274658203,80.5946780776685
2025-04-23,80.37999725341797,82.72409671478681
2025-04-24,80.5,80.38763414118421
2025-04-25,80.0,80.75109803676605
2025-04-28,79.05000305175781,80.17292022705078
2025-04-29,80.04000091552734,78.7928311695714
2025-04-30,79.08999633789062,80.11551243868416
2025-05-02,78.94000244140625,78.82758894228027
2025-05-05,79.66000366210938,79.02678498059686
2025-05-06,82.0999984741211,79.5225174983716
2025-05-07,81.29000091552734,81.97103408814746
2025-05-08,80.94000244140625,81.38832096449005
2025-05-09,80.80999755859375,80.867757050004
2025-05-12,78.0,80.67536252428545
2025-05-13,79.05999755859375,78.31103825569153
2025-05-14,78.52999877929688,79.0193771613267
2025-05-15,77.05000305175781,79.12694453026779
2025-05-16,77.79000091552734,77.66160971560566
2025-05-19,78.33999633789062,78.35023750249275
2025-05-20,78.19999694824219,78.82669078220715
2025-05-21,79.48999786376953,78.9623636901888
2025-05-22,79.83999633789062,79.03792416178158
2025-05-23,79.54000091552734,79.44021140024961
2025-05-26,79.76000213623047,79.30081507049863
2025-05-27,79.52999877929688,79.63167561664204
2025-05-28,80.05999755859375,79.6994855151388
2025-05-29,79.11000061035156,79.91508782232631
2025-05-30,79.48999786376953,78.89965474502878
2025-06-02,80.51000213623047,79.15677621664054
2025-06-03,80.83999633789062,80.0515564355801
2025-06-04,81.31999969482422,80.38963127507486
2025-06-05,81.7300033569336,80.62896551391532
2025-06-06,81.19999694824219,81.06782201788974
2025-06-09,80.4800033569336,80.5304843200538
2025-06-10,80.62000274658203,80.31250713603413
2025-06-11,80.75,80.60444309896866
2025-06-12,81.3499984741211,80.47592425346375
2025-06-13,83.12999725341797,80.66402854715989
2025-06-16,83.08999633789062,82.91344186485048
2025-06-17,82.56999969482422,82.62045500440581
2025-06-18,82.80000305175781,82.09886410827721
2025-06-19,82.7699966430664,82.51929012694472
