Date,Actual Price,Predicted Price
2025-01-22,67.43000030517578,67.39176337428347
2025-01-23,67.7699966430664,66.94667449463117
2025-01-24,67.68000030517578,67.36414765181583
2025-01-27,67.56999969482422,68.5327380760941
2025-01-28,67.87000274658203,66.69366537427511
2025-01-29,68.0999984741211,66.35224350229642
2025-01-30,69.06999969482422,66.96094865850453
2025-01-31,68.97000122070312,68.4141544740508
2025-02-01,69.63999938964844,69.18350388286622
2025-02-03,70.0999984741211,68.99671414111587
2025-02-04,71.66000366210938,69.57553978251765
2025-02-05,71.5199966430664,70.36002064737833
2025-02-06,71.52999877929688,71.04155242796202
2025-02-07,72.5,70.9186253966842
2025-02-10,71.97000122070312,72.08413245140058
2025-02-11,71.4800033569336,71.45312421438338
2025-02-12,71.87000274658203,70.5488167179006
2025-02-13,72.22000122070312,71.69935076871066
2025-02-14,71.62999725341797,72.94397687940315
2025-02-17,71.97000122070312,69.89458548516659
2025-02-18,72.80000305175781,70.95328479746983
2025-02-19,72.45999908447266,70.32464204733279
2025-02-20,72.11000061035156,72.28912418620963
2025-02-21,72.5999984741211,69.56478532140534
2025-02-24,72.75,72.36180823718567
2025-02-25,71.9000015258789,72.14619645083718
2025-02-27,71.12000274658203,71.69205502845641
2025-02-28,71.38999938964844,72.57340313695181
2025-03-03,72.41999816894531,70.97225918753031
2025-03-04,72.2699966430664,71.05185401112112
2025-03-05,71.9000015258789,71.1963669049621
2025-03-06,72.19000244140625,72.049376526504
2025-03-07,72.18000030517578,70.67187813659568
2025-03-10,72.08000183105469,69.75920695122375
2025-03-11,72.29000091552734,71.89101185280326
2025-03-12,72.80999755859375,71.20826127027235
2025-03-13,73.55999755859375,72.50489374925735
2025-03-17,74.12999725341797,74.05360398877126
2025-03-18,74.2300033569336,74.45866569397182
2025-03-19,74.47000122070312,73.43116547354877
2025-03-20,73.9800033569336,73.42617226058775
2025-03-21,73.01000213623047,73.54621705396129
2025-03-24,73.20999908447266,72.5467172198857
2025-03-25,73.26000213623047,74.54108159565092
2025-03-26,73.80000305175781,72.40477298984419
2025-03-27,74.16999816894531,74.92796280590696
2025-03-28,76.68000030517578,74.37777557750077
2025-04-01,76.22000122070312,74.50059808905316
2025-04-02,75.86000061035156,76.10807087075462
2025-04-03,74.9800033569336,75.12122696101402
2025-04-04,73.83000183105469,74.0961042558535
2025-04-07,73.68000030517578,73.72306802045911
2025-04-08,74.88999938964844,75.09664061630957
2025-04-09,77.91999816894531,75.45901751549539
2025-04-11,77.68000030517578,76.00954408365739
2025-04-15,79.20999908447266,76.62255957652107
2025-04-16,79.51000213623047,77.23179911638573
2025-04-17,81.0999984741211,79.34973248236446
2025-04-21,82.87000274658203,79.187970295094
2025-04-22,80.37999725341797,81.13357898213353
2025-04-23,80.5,79.61782214040136
2025-04-24,80.0,80.24856963228812
2025-04-25,79.05000305175781,81.19852066321918
2025-04-28,80.04000091552734,77.07922767225557
2025-04-29,79.08999633789062,80.72588434700796
2025-04-30,78.94000244140625,80.74983715703797
2025-05-02,79.66000366210938,79.9917594983805
2025-05-05,82.0999984741211,79.3207708920872
2025-05-06,81.29000091552734,82.59597945138977
2025-05-07,80.94000244140625,84.5514811556752
2025-05-08,80.80999755859375,79.44504607939012
2025-05-09,78.0,80.16531283275069
2025-05-12,79.05999755859375,80.47179958930833
2025-05-13,78.52999877929688,79.20901570920539
2025-05-14,77.05000305175781,79.22531877193684
2025-05-15,77.79000091552734,77.964822436846
2025-05-16,78.33999633789062,77.78212876133067
2025-05-19,78.19999694824219,77.51055043360296
2025-05-20,79.48999786376953,78.10771774860231
2025-05-21,79.83999633789062,79.3474884339383
2025-05-22,79.54000091552734,81.19506720816865
2025-05-23,79.76000213623047,80.81046447903627
2025-05-26,79.52999877929688,78.47321824702068
2025-05-27,80.05999755859375,78.74928803409475
2025-05-28,79.11000061035156,82.03681981975285
2025-05-29,79.48999786376953,78.93093878586264
2025-05-30,80.51000213623047,80.03318128118039
2025-06-02,80.83999633789062,81.36764157166269
2025-06-03,81.31999969482422,80.08917939918645
2025-06-04,81.7300033569336,82.0837710661949
2025-06-05,81.19999694824219,82.04154741277787
2025-06-06,80.4800033569336,83.27542459505041
2025-06-09,80.62000274658203,80.54661460983334
2025-06-10,80.75,81.62188867126642
2025-06-11,81.3499984741211,80.73108420739032
2025-06-12,83.12999725341797,80.77469930862505
2025-06-13,83.08999633789062,83.02257822900134
2025-06-16,82.56999969482422,83.42735751138873
2025-06-17,82.80000305175781,84.0743983515304
2025-06-18,82.7699966430664,83.57880121154484
